stop_id,stop_name,stop_lat,stop_lon,ligne
CCHA,Couchant,47.27010426,-1.5139192,"[{'numLigne': 'C6'}, {'numLigne': 'LC'}]"
CCLA,Cimetière de la Classerie,47.17135033,-1.55806356,[{'numLigne': '33'}]
CCOU,Champ de Courses,47.24456069,-1.56114747,"[{'numLigne': '26'}, {'numLigne': 'C20'}]"
CCRE,Chêne Creux,47.17042966,-1.54879087,"[{'numLigne': '30'}, {'numLigne': 'LS'}]"
CDAN,Chêne des Anglais,47.26144899,-1.5730954,"[{'numLigne': '126'}, {'numLigne': '2'}, {'numLigne': '2B'}, {'numLigne': '96'}, {'numLigne': 'C2'}]"
CDCO,Cité des Congrès,47.21367185,-1.54501797,[{'numLigne': '4'}]
CDMA,Champ de Manoeuvre,47.27270482,-1.50074174,"[{'numLigne': '115'}, {'numLigne': '95'}]"
CEDR,Cèdre,47.29944073,-1.56025341,[{'numLigne': 'LCO'}]
CEER,Chapellerie,47.28291508,-1.42312581,[{'numLigne': '135'}]
CELL,Le Cellier,47.32361957,-1.3477192,[{'numLigne': '67'}]
CFOI,Champ de Foire,47.12415033,-1.61890054,[{'numLigne': '98'}]
CGAU,Cimetière de la Gaudinière,47.24319834,-1.58273839,"[{'numLigne': '59'}, {'numLigne': '96'}, {'numLigne': 'C20'}]"
CGLA,Chêne Gala,47.1831538,-1.53923829,[{'numLigne': '97'}]
CHAB,Chabossière,47.21536358,-1.68222404,"[{'numLigne': '91'}, {'numLigne': 'E1'}, {'numLigne': 'NBI'}]"
CHBE,Chambelles,47.23162967,-1.53058634,[{'numLigne': '10'}]
CHER,La Cochère,47.20044448,-1.77824516,"[{'numLigne': '128'}, {'numLigne': 'E8'}]"
CHFL,Champ Fleuri,47.14406886,-1.52571786,"[{'numLigne': '104'}, {'numLigne': 'C4'}]"
CHGN,Châtaigniers,47.22206655,-1.60287205,"[{'numLigne': 'C20'}, {'numLigne': 'C3'}, {'numLigne': 'LO'}]"
CHIN,La Chesnaie,47.28165303,-1.53751539,[{'numLigne': 'LCE'}]
